Title,Year,Publisher,Rarity,Description
1942,1985,Capcom,2,Semi-Common
Balloon Fight,1984,Nintendo,2,Semi-Common
Baseball,1984,Nintendo,1,Common
Baseball Stars,1989,SNK Corp.,3,Rare
Captain Skyhawk,1989,Milton Bradley,4,Very Rare
Castlevania,1987,Konami Inc.,3,Rare
Contra,1988,Konami Inc.,1,Common
Double Dragon,1988,Technos,1,Common
Double Dribble,1987,Konami Inc.,1,Common
Dr. Mario,1990,Nintendo,3,Rare
Duck Hunt *,1984,Nintendo,2,Semi-Common
Excitebike,1984,Nintendo,2,Semi-Common
Fester’s Quest,1989,Sunsoft,3,Rare
Gauntlet,1985,Atari Games Corp.,2,Semi-Common
Golf,1984,Nintendo,2,Semi-Common
Goonies,1986,Konami Inc.,2,Semi-Common
Gradius,1986,Konami Inc.,2,Semi-Common
Hogan's Alley *,1984,Nintendo,2,Semi-Common
Kung Fu,1984,Irem Corp.,2,Semi-Common
Mario Bros,1983,Nintendo,3,Rare
Mario’s Open Golf,1991,Nintendo,5,Rarest
Mega Man 3,1990,Capcom,4,Very Rare
Metroid,1986,Nintendo,4,Very Rare
Mike Tyson’s Punch-Out!!,1987,Nintendo,1,Common
Ninja Gaiden,1989,Tecom Inc.,3,Rare
Ninja Gaiden II,1990,Tecom Inc.,5,Rarest
Ninja Gaiden III,1991,Tecom Inc.,5,Rarest
Pinbot,1988,Rare Ltd.,3,Rare
Power Blade,1991,Taito,5,Rarest
Pro Wrestling,1986,Nintendo,2,Semi-Common
Rad Racer,1987,Square Co. Ltd.,2,Semi-Common
Rad Racer II,1990,Square Co. Ltd.,4,Very Rare
RBI Baseball,1987,Atari Games Corp.,5,Rarest
RC Pro-AM,1987,Rare Ltd.,3,Rare
Rescue Rangers,1990,Capcom,4,Very Rare
Rockin’ Cats,1991,Atlus Soft.,5,Rarest
Rush’n Attack,1987,Konami Inc.,2,Semi-Common
Rygar,1987,Tecmo Ltd.,2,Semi-Common
Shatterhand,1991,Jaleco,5,Rarest
Solar Jetman,1990,Rare Ltd.,4,Very Rare
Super C,1990,Konami,4,Very Rare
Super Mario Bros,1985,Nintendo,2,Semi-Common
Super Mario Bros 2,1988,Nintendo,2,Semi-Common
Super Mario Bros 3,1988,Nintendo,1,Common
Tecmo Bowl,1989,Tecmo Inc.,3,Rare
Tennis,1983,Nintendo,3,Rare
TMNT,1989,Konami Inc.,2,Semi-Common
TMNT II,1990,Konami Inc.,3,Rare
Track & Field,1987,Konami Inc.,2,Semi-Common
Trojan,1986,Capcom,3,Rare
Volleyball,1986,Nintendo,4,Very Rare
Wild Gunman *,1984,Nintendo,3,Rare
World Cup,1990,Technos,4,Very Rare
Yo Noid,1990,Capcom,5,Rarest
,,,,* Requires Zapper Gun
